id,text,label
22,"у меня почему то плохо прогружаются страницы раньше такого не было сейчас когда захожу в определенный товар у меня не занружается страница значит все таки техническе работы, да?) у  технческие работы на сайте или что? работает вообще отвратительно у  технческие работы на сайте или что? работает вообще отвратительно а по времени примерно когда закончатся такие перепады? да, получаю",positive
23,Я не согласен с результатами по заявке на возврат,positive
24," Что делать Здравствуйте, меня зовут имя, чем я могу Вам помочь? Уточните, пожалуйста, номер Вашего заказа",positive
25, Большое спасибо,positive
26," Я сейчас уточню информацию, подождите, пожалуйста",positive
27," Пришлите, пожалуйста, скриншот письма,что Вы получили",positive
28," Уважаемый клиент, информируем Вас о том, что система автоматически закрывает чат, если не следует ответа в течение 4-х минут",positive
29, Большое спасибо,positive
30," Спасибо, что подождали",positive
31, Я проверила информацию по Вашему заказу,positive
32," По нашей информации, у Вас открыт спор по новой и сейчас находится в ожидании ответа от продавца",positive
33," Не переживайте, пожалуйста",positive
34," Скажите, пожалуйста, у Вас еще остались вопросы по работе? Большое спасибо за обращение к нам",positive
35, Я была рада Вам помочь,positive
36," Если я ответила на все Ваши вопросы, нажмите, пожалуйста, на кнопку ""Завершить сессию"", чтобы оценить мою работу",positive
37, Удачного Вам дня и хорошего настроения!  ,positive
38, Здравствуйте,positive
39," У меня был спор на возврат средств, потом случайно добавила второе решение ""возврат товара и средств"", продавец принял его",positive
40, Я закрыла первый спор и открыла новый,positive
41," Мне пришло письмо на почту, что от меня ждут трек-номер",positive
42, Но я не хочу отправлять товар,positive
43,  000000 Спасибо)  нет),positive
44," Здравствуйте, меня зовут имя, чем могу Вам помочь? Уточните, пожалуйста, номер Вашего заказа",positive
45, Сейчас я проверю для Вас информацию,positive
46," Я поняла Ваш вопрос, не волнуйтесь, пожалуйста",positive
47, Мне потребуется некоторое время для уточнения информации,positive
48," Подождите, пожалуйста",positive
49," Спасибо, что подождали",positive
50, 5 апреля 2017 г,positive
51," по Вашему заказу № 000000 был успешно оформлен возврат денежных средств в размере 679,34 ед",positive
52," Возврат совершается в срок 3-20 рабочих дней на карту, с которой Вы совершали платеж",positive
53, Возврат совершается в срок 3-20 рабочих дней,positive
54,"Хочу Вас заверить, что часто средства возвращаются быстрее",positive
55," Не волнуйтесь, пожалуйста",positive
56, Все средства находятся под защитой,positive
57," Пожалуйста, подождите немного, так как для выполнения банковских операций необходимо время",positive
58, Была рада Вам помочь! Большое спасибо за обращение к нам,positive
59, Я была рада Вам помочь,positive
60," Если я ответила на все Ваши вопросы, нажмите, пожалуйста, на кнопку ""+"" в нижнем правом углу чата и выберите ""Exit"", чтобы оценить мою работу",positive
61, Удачного Вам дня и хорошего настроения!   ,positive
62,"оплатила товар ,  пока идет обработка вернут ли мне средств? 000000 Помогите ,деньги не вернули Ожидать возврат от трех дней ?? Сегодня проверяла ,не было ,разволновалась Спасибо вам большое ,буду ждать",positive
63,"Как отменить заказ Здравствуйте, меня зовут имя, чем я могу Вам помочь? Спасибо",positive
64," Что Вас интересует? Уточните, пожалуйста, номер Вашего заказа",positive
65, Хорошо,positive
66, Вы можете сменить раскладку на клавиатуре и писать по Русски? Хорошо,positive
67," Подождите, пожалуйста",positive
68," Я вижу, что заказ закрыт ,возврат  на сумму  20",positive
69,91 ед ,positive
70," Теперь нужно немного подождать, потому что возврат приходит в течение 3-20 рабочих дней",positive
71, Обычно деньги приходят намного быстрее,positive
72, Кок давно Вы подали аппеляцию? Я Вас понял,positive
73," Уточните , пожалуйста, по моему вопросу? Скажите, пожалуйста, Вы получили ответ на интересующий Вас вопрос? Большое спасибо за обращение к нам",positive
74, Я был рад Вам помочь,positive
75," Если я ответил на все Ваши вопросы, нажмите, пожалуйста, на кнопку ""Завершить сессию"", чтобы оценить мою работу",positive
76, Удачного Вам дня и хорошего настроения! Хорошо,positive
77, Большое спасибо за обращение к нам,positive
78, Я был рад Вам помочь,positive
79," Если я ответил на все Ваши вопросы, нажмите, пожалуйста, на кнопку ""Завершить сессию"", чтобы оценить мою работу",positive
80, Удачного Вам дня и хорошего настроения!   ,positive
81,Я уже сделала тот же заказ с другой моей карточки    мне по непонятным причине закрыли его когда я первый раз сделала заказ Спасибо большое Да получила Я хочю уточнить если второй заказ действителен? Огромное спасибо вам ,positive
82," Здравствуйте, меня зовут имя, чем могу Вам помочь? Уважаемый клиент, информируем Вас о том, что система автоматически закрывает чат, если не следует ответа в течение 4-х минут",positive
83," Доброго времени суток Продолжайте, пожалуйста",positive
84," Уточните, пожалуйста, номер Вашего заказа",positive
85," Большое спасибо, сейчас я проверю для Вас информацию",positive
86, Спасибо что подождали,positive
87, 2017-04-07 по Вашему заказу 000000 был успешно оформлен возврат денежных средств в размере 2,positive
88,37 ед  Возврат совершается в срок от 3 до 20 рабочих дней,positive
89," Обращаю Ваше внимание, что имеются в виду именно рабочие дни",positive
90, Финансовые операции требуют времени,positive
91," Продавец согласился на Ваше решение в споре, поэтому спор был закрыт",positive
92, Остались ли у Вас еще вопросы? Большое спасибо за обращение к нам,positive
93, Я была рада Вам помочь,positive
94," Если я ответил на все Ваши вопросы, нажмите, пожалуйста, на кнопку ""+"" в нижнем правом углу чата и выберите ""Exit"", чтобы оценить мою работу",positive
95, Удачного Вам дня и хорошего настроения!  ,positive
96,"Здравствуйте Проверьте заказ, я открыла по нему спор, а сейчас он ушёл в статус ""оставьте отзыв""  Спасибо большое Нет спасибо, всё предельно ясно",positive
97," Здравствуйте, меня зовут имя, чем я могу Вам помочь? Чем могу Вам помочь? Чтобы я мог Вам помочь, уточните, пожалуйста, номер Вашего заказа",positive
98," Хорошо, сейчас уточню",positive
99," Спасибо, что подождали",positive
100," По двум Вашим возврат оформлен 2017-03-15 и 2017-03-13, возврат занимает до 20 рабочих дней, время на возврат еще есть, рекомендую Вам дождаться поступления средств на Ваш счет",positive
101," Данные сроки устанавливаются банком, так как на банковские операции требуется некоторое время",positive
102," Скажите, пожалуйста, Вы получили ответ на интересующий Вас вопрос? Уточните, пожалуйста, свой вопрос",positive
103," После спора деньги возвращаются таким же способом, просто это зависит от банка как быстро он все обработате",positive
104," Данные сроки установлены банком, более подробно по возврату Вы можете уточнить в отделения банка",positive
105, Сейчас я Вам уточню,positive
106," Прошу прощения, не правильно для Вас уточнил",positive
107, Данные сроки установлены банковской системой в целом для всех банков,positive
108," Скажите, пожалуйста, у Вас еще остались вопросы по работе? Большое спасибо за обращение к нам",positive
109, Я был рад Вам помочь,positive
110," Если я ответил на все Ваши вопросы, нажмите, пожалуйста, на кнопку ""+"" в нижнем правом углу чата и выберите ""Exit"", чтобы оценить мою работу",positive
111, Удачного Вам дня и хорошего настроения!   ,positive
112,"Здравствуйте Я хочу узнать, почему мне до сих пор не вернули деньги Номер 000000 и 000000 это номера 2х заказов Почему тогда после открытого спора деньги возвращают уже На 2й день, а с этими возвратами проблемы такие? Почему так долго? Какой банк работает по данным возвратам? Нет",positive
113,Как продлить Защиту покупателя Здравствуйте! Меня зовут имя,positive
114,Чем я могу Вам помочь? Спасибо за информацию,positive
115, Сейчас уточню,positive
116, Получила скриншот,positive
117," Благодарю Вас, что подождали",positive
118, Ваш заказ 000000 отправлен 30 марта 2017 г,positive
119," Продавец гарантирует доставку в срок 60 дней, то есть до 29 мая 2017 г",positive
120,Посылка в пути 3 дней,positive
121," Обращаю Ваше внимание, что данные о месте нахождения обычно обновляется каждые 5-10 дней",positive
122," В данной ситуации, рекомендую Вам связаться с продавцом для уточнения информации о доставке товара",positive
123," Я сейчас направлю продавцу официальное уведомление, чтобы он связался с Вами и помог в решении данного вопроса  ",positive
124,"Здравствуйте! Подскажите, заказ 000000, уже 4 дня отображается статус"", что это значит? Продавец не отправил товар? Спасибо",positive
125,"  Хорошо, спасибо за консультацию",positive
126, Первый раз с таким статусом сталкиваюсь,positive
127," Хорошего дня :)  Понял, спасибо, извините за беспокойство",positive
128,Продавец не отвечает на мои сообщения,positive
129," Что мне делать e Здравствуйте, меня зовут имя, чем я могу Вам помочь? Минутку, пожалуйста",positive
130," Спасибо, что подождали, если товар не соответствует описанию или поврежден рекомендую Вам открыть спор",positive
131, И все же рекомендую Вам открыть спор,positive
132, Так же Вам будет необходимо приложить в него соответствующие доказательства,positive
133," Спор можно открыть по причине ""Проблемы с качеством""",positive
134," Доказательства того, что товар работает ненадлежащим образом либо то что товар поврежден",positive
135, Вы можете прикрепить необходимое количество доказательств,positive
136,Единовременно в спор Вы можете загрузить только одну видеозапись,positive
137, Вы можете самостоятельно выбрать необходимые условия спора,positive
138," Уважаемый клиент, информируем Вас о том, что система автоматически закрывает чат, если не следует ответа в течение 4-х минут",positive
139," Вы можете попробовать договориться с продавцом, я направлю ему уведомление, что он в ближайшее время связался с вами",positive
140, Продавец может дать Вам какое либо обещание,positive
141," Если Вы с продавцом не придете к какому либо согласию, то да, это единственное верное решение",positive
142, Советую Вам по данному вопросу обратится непосредственно к продавцу,positive
143, Совершенно верно,positive
144," Так как продавец не отвечает на Ваши сообщения, что бы защитить Ваши средства рекомендую Вам открыть спор",positive
145, Команда по спорам рассмотрит все доказательства приложеные Вами и вынесет решение,positive
146,Каждый случай рассматривается индивидуально,positive
147, Вам еще чем нибудь помочь?   ,positive
148,заказ №: 000000,positive
149, От батарейки механизм вертиться,positive
150," Но продавец мне прислал товар в полиэтиленовом пакете (верхняя часть деформирована), без каких либо маркировок и лейблов",positive
151, Я  обращалась к продавцу с вопросами о товаре и об инструкции,positive
152, Но продавец по существу не отвечал,positive
153, После вообще замолчал,positive
154,  Сейчас при включении заказ очень шумит,positive
155, Мне кажется что продавец не хочет нести ответственность за свой товар,positive
156, Как мне поступить,positive
157, Мне кажется что соответствует,positive
158," Проблема в том, что видимо он стал плохо работать",positive
159, Я еще с таким не сталкивалась,positive
160, Что делать? А какую указать причину? А какие доказательства? Ну у меня есть видео когда товар пришел,positive
161," Мне снять новое ,ч то он стал сильно шуметь",positive
162, Но как быть тогда с двумя видео? а что мне требовать? просто этот товар приводит меня в замешательство своей спецификой,positive
163," А  без спора можно обойтись, чтобы при этом решить проблему? А какие действия в рамках площадки он может совершить, чтобы урегулироватьмою проблему? То есть спор - единственный выход? А кроме ""обещаний"" продавет может что-либо сделать? Хорошо",positive
164," Я прпвильно понимаю, что могу открыть спор в течении 15 дней после закрытиязаказа? Еще вопрос, если товар пришел с дефектом, как оценивается ушерб? Хорошо",positive
165, Спасибо,positive
166, До свидания,positive
167,"Здравствуйте, меня зовут имя, чем могу Вам помочь? Вы правильно сделали, что обратились к нам с данным затруднением",positive
168, Сейчас разберемся в ситуации,positive
169," Для консультации мне потребуется номер заказа, о котором идет речь",positive
170," Уточните его, пожалуйста",positive
171, Благодарю Вас,positive
172," Подождите, пожалуйста, сейчас я все проверю",positive
173, Спасибо за ожидание,positive
174," Я вижу, что Вам оформлен возврат 2017-04-07 на сумму 3",positive
175,12 ед ,positive
176," Теперь нужно немного подождать, потому что возврат приходит в течение 3-5 рабочих дней",positive
177, Обычно деньги приходят намного быстрее,positive
178, Большое спасибо за обращение к нам,positive
179, Я был рад Вам помочь,positive
180," Если я ответил на все Ваши вопросы, нажмите, пожалуйста, на кнопку ""+"" в нижнем правом углу чата и выберите ""Exit"", чтобы оценить мою работу",positive
181, Удачного Вам дня и хорошего настроения!   ,positive
182," Привет Я отменил заказ , продавец согласился, нынешний статус Заказа закрыт Но деньги не вернулись Что мне делать? 000000 Спасибо",positive
183,"Почему мой заказ закрыт Здравствуйте, меня зовут имя, чем я могу Вам помочь? Опишите, пожалуйста, ситуацию подробнее",positive
184, Так я быстрее смогу помочь Вам во всем разобраться,positive
185, Мы обязательно решим данный вопрос,positive
186," Я сейчас уточню информацию, подождите, пожалуйста",positive
187, Благодарю за ожидание,positive
188, На скриншоте у Вас указан номер для отслежимяия товара,positive
189," Чтобы я мог Вам помочь, уточните, пожалуйста, номер Вашего заказа",positive
190, Он должен начинаться с 8,positive
191," Уважаемый клиент, информируем Вас о том, что система автоматически закрывает чат, если не следует ответа в течение 4-х минут",positive
192, Большое спасибо,positive
193," Я сейчас уточню информацию, подождите, пожалуйста",positive
194, Благодарю за ожидание,positive
195, Полностью Вас поддерживаю в данной ситуации,positive
196," Сейчас рекомендую Вам обратиться к продавцу, так как он занимался отправкой товара и уточнить у него информацию",positive
197," Если он не сможет Вам помочь, то рекомендую Вам открыть с ним спор по данному поводу",positive
198," Так как Вы уже написали продавцу, я сейчас направлю продавцу официальное уведомление, чтобы он связался с Вами и помог в решении данного вопроса",positive
199," Скажите, пожалуйста, у Вас еще остались вопросы по работе? Большое спасибо за обращение к нам",positive
200, Я был рад Вам помочь,positive
201," Если я ответил на все Ваши вопросы, нажмите, пожалуйста, на кнопку ""Завершить сессию"", чтобы оценить мою работу",positive
202," Удачного Вам дня и хорошего настроения!  вот такая проблема, написано что заказ отменен что мне делать? номер заказа - 000000 Хорошо, спасибо большое  Нет",positive
203,"Здравствуйте, меня зовут имя, чем я могу Вам помочь? Сейчас я уточню переписку с предыдущим агентом",positive
204," Если продавец в течении 5 дней не подключиться к Вашему спор, то спор закроется на Ваших условиях",positive
205," Я Вам рекомендую, договориться с продавцом, чтобы он просто продлил Вам срок защиты покупателя",positive
206, Добрый день ! Я по поводу спора по заказу то что выше вот что прислал продавец Так продавец просит закрыть спор Что ему писать то ? Что вообще делать ? Хорошо,positive
207,   попробую,positive
208,"Здравствуйте, меня зовут имя, чем я могу Вам помочь? Спасибо большое",positive
209," Сейчас все уточню, подождите, пожалуйста",positive
210," Спасибо, что подождали",positive
211, 9 апреля 2017 г,positive
212," по Вашему заказу № 000000 был успешно оформлен возврат денежных средств в размере 7,41 ед",positive
213," Возврат совершается в срок 3-20 рабочих дней на карту, с которой Вы совершали платеж",positive
214, Суббота и воскресенье в расчетные дни не входят,positive
215," Хочу Вас заверить, что часто средства возвращаются быстрее",positive
216," Не переживайте, пожалуйста",positive
217, Все средства находятся под защитой,positive
218," Пожалуйста, подождите немного, так как для выполнения банковских операций необходимо время",positive
219, Крайний срок возврата - 7 мая 2017 г,positive
220," Если Вам не вернутся деньги в данный срок, обратитесь, пожалуйста, к нам повторно",positive
221, И мы Вам обязательно поможем,positive
222," Скажите, пожалуйста, у Вас еще остались вопросы по работе? Большое спасибо за обращение к нам",positive
223, Я был рад Вам помочь,positive
224," Если я ответил на все Ваши вопросы, нажмите, пожалуйста, на кнопку ""+"" в нижнем правом углу чата и выберите ""Exit"", чтобы оценить мою работу",positive
225, Удачного Вам дня и хорошего настроения!   ,positive
226,"000000 Был открыт спор вчера,не ясен его итог Спор закрыт Спасибо",positive
227,"Как использовать баллы Здравствуйте, меня зовут имя, чем могу Вам помочь? Слушаю Вас",positive
228," Уточните, пожалуйста, я правильно Вас понимаю, что Вы добавляете товар в ""Мои желания"", а он там не отображается? Продолжайте, пожалуйста",positive
229," Уточните, пожалуйста, что отображает? Текст Вашего сообщения пришел не полностью",positive
230," Я правильно Вас понимаю, что вкладка ""Мои желания""  отображается в приложении, если Вы добавляете товар, но не отображается на компьютере и наоборот",positive
231," Верно? А в приложении показывает, верно? Спасибо",positive
232, Я уточняю для Вас информацию,positive
233," Спасибо, что подождали",positive
234," Уточните, пожалуйста, у Вас один аккаунт? Я правильно Вас понимаю, что Вы заходите под одним учетным именем",positive
235, Я Вас поняла,positive
236, Попробуйте очистить данные приложения,positive
237, Сделать это можно так,positive
238," Пройдите в “Настройки”, нажмите “Очистить данные приложения”",positive
239, Ваши учетные данные сохранятся,positive
240, Проверьте что у Вас стабильное соединение интернет,positive
241," Чтобы проверить версию приложения, пройдите ‘Меню’--&gt;'Мой профиль'--'Версия приложения'",positive
242, Обновите приложение до последней версии,positive
243, На Андроид это 5,positive
244,2,positive
245,1,positive
246," Также обращаю Ваше внимание, что некоторые товары доступны только в приложении в полной версии данных товаров нет",positive
247," Пришлите, пожалуйста, скриншоты с Вашего компьютера и также приложения",positive
248," Пришлите, пожалуйста, скриншот того, как Вы добавляете товар в ""Мои желания""",positive
249," Затем, пожалуйста, пришлите скриншот того, как товар отображается во вкладке ""Мои желания"" на компьютере и в приложении",positive
250, Сделайте пожалуйста скриншот Вашего экрана,positive
251, Для создания скриншота Вам нужно сделать следующее:1,positive
252, Нажмите на клавиатуре кнопку PrintScreen — в буфер будет скопирован снимок Вашего экрана,positive
253,2,positive
254," Откройте любой из графических редакторов, например Paint — Пуск — Стандартные — Paint",positive
255,3,positive
256, Выберите в меню пункт Правка — Вставить или нажмите кнопку Вставить,positive
257,4,positive
258, Сохарните изображение на Вашем компьютере: Файл — Сохранить как,positive
259,После этого Вы сможете отправить мне изображение Вашего экрана,positive
260," Уточните, пожалуйста, у Вас получилось сделать скриншот? Мне необходимо подтверждение в виде скриншот от Вас",positive
261," Пришлите, пожалуйста, скриншот страницы ""Мои желания"" с компьютера и приложения",positive
262," Продолжайте, пожалуйста",positive
263," Пришлите, пожалуйста, скриншот из вкладки ""Мои желания""",positive
264," Также, пожалуйста, пришлите скриншот  из вкладки ""Мои желания"" с приложения",positive
265," Минуту, пожалуйста",positive
266," Спасибо, что подождали",positive
267," Я вижу, что данный товар у Вас отображается, как в приложении, так и на компьютере",positive
268,  На моих скриншотах я отметила где видно данный товар,positive
269," Уточните, пожалуйста, в чем он разный? Пришлите, пожалуйста, мне в чат ссылку на часы",positive
270, Я Вас поняла,positive
271," Пришлите, пожалуйста, мне в чат ссылку на данные часы",positive
272," Уточните, пожалуйста, версию Вашего приложения",positive
273, Понимаю,positive
274," Уточните, пожалуйста, версию версию Вашего android",positive
275, Благодарю,positive
276," Спасибо, что подождали",positive
277, Приношу свои извинения за доставленные неудобства,positive
278, Я сейчас составлю для Вас заявку в наш технический отдел,positive
279," Скажите, пожалуйста, Вы получили ответ на интересующий Вас вопрос? Большое спасибо за обращение к нам",positive
280, Я была рада Вам помочь,positive
281," Если я ответила на все Ваши вопросы, нажмите, пожалуйста, на кнопку ""Завершить сессию"", чтобы оценить мою работу",positive
282, Удачного Вам дня и хорошего настроения!   ,positive
283,"Здравствуйте у меня такой вопрос почему у меня в профиле не сохранаются в моих желаниях закладки  когда сохраняю с компа все хорошо ,а когда через приложение то на компе не появляется",positive
284," захоже через приложнение ,а там отображает  жду когда сохраняю с компа все хорошо ,а когда через приложение то на компе не появляется",positive
285," захоже через приложнение ,а там отображает все что добовляю через телефон на компьютере не показывает этого в моих желаниях в приложении да,а на компе нет только когда с приложения довавил когда с компа добовляю в ""Мои желания"" отображает везде и на приложении тоже",positive
286," но когда добовляю товар в  ""Мои желания"" с приложения видно на компе нет есть еще один старый но я им не пользуюсь через него товар не проходит",positive
287, я по вашей просбе создал этот  Да с компа и приложения  я уже обновил приложение  я нахоже это товар через комп добовляю его и потом видно его и там итам это как так ,positive
288,"? чего именно ? я так не умею как обычно на компе нажимаю кнопу добавить в ""Мои желания"" и оно довавляется также и на телефоне  только добавленные с телефона на компе не отображаются только в приложении  нет  жду у меня версия приложения 5",positive
289,2,positive
290,4 нет это разный товар  я часы с приложения добавил а на компе их нет наушники с компа добавил поэтому они и там и тут видны  да без разницы весь товар какой бы я с приложения не добовлял он на компе не виден,positive
291, в старом приложении токого не было 5,positive
292, хорошо да досвидания,positive
293," Здравствуйте, меня зовут имя, чем я могу Вам помочь? Чем я могу Вам помочь? Продолжайте, пожалуйста",positive
294," Уточните, пожалуйста, номер Вашего заказа",positive
295," Вы сможете указать номера заказов? Уточните, пожалуйста, номера Ваших заказов",positive
296," Сейчас я уточню информацию по Вашему заказу, подождите, пожалуйста",positive
297, Благодарю,positive
298," Спасибо, что подождали",positive
299, 8 апреля 2017 г,positive
300," по Вашему заказу № 000000 был успешно оформлен возврат денежных средств в размере 610,26 ед",positive
301," Возврат совершается в срок 3-20 рабочих дней на карту, с которой Вы совершали платеж",positive
302, Суббота и воскресенье в расчетные дни не входят,positive
303," Не переживайте, пожалуйста",positive
304, Все средства находятся под защитой,positive
305," Пожалуйста, подождите немного, так как для выполнения банковских операций необходимо время",positive
306, Крайний срок возврата - 6 мая 2017 г,positive
307," Если Вам не вернутся деньги в данный срок, обратитесь, пожалуйста, к нам повторно",positive
308, И мы Вам обязательно поможем,positive
309, По заказу 000000 ожидается подтверждение отмены заказа со стороны продавца,positive
310, По итогам отмены система вернет средства на Ваш счет,positive
311, Вы получили наши сообщения? Сейчас я отправлю повторно,positive
312, 8 апреля 2017 г,positive
313," по Вашему заказу № 000000 был успешно оформлен возврат денежных средств в размере 610,26 ед",positive
314," Возврат совершается в срок 3-20 рабочих дней на карту, с которой Вы совершали платеж",positive
315, Суббота и воскресенье в расчетные дни не входят,positive
316," Не переживайте, пожалуйста",positive
317, Все средства находятся под защитой,positive
318," Пожалуйста, подождите немного, так как для выполнения банковских операций необходимо время",positive
319, Крайний срок возврата - 6 мая 2017 г,positive
320," Если Вам не вернутся деньги в данный срок, обратитесь, пожалуйста, к нам повторно",positive
321, И мы Вам обязательно поможем,positive
322, По заказу 000000 ожидается подтверждение отмены заказа со стороны продавца,positive
323, По итогам отмены система вернет средства на Ваш счет,positive
324," Вы получили сообщения, касаемо Ваши заказов? Скажите, пожалуйста, у Вас еще остались вопросы по работе?   ",positive
325,привет я сделал заказ 2 раза и передумал мне вернут средства? просто ошибся мне вернут средства? 000000 000000 щл нет ок спасибо да,positive
326,"Я не получил средство по кредитной карте|добрый день, сделал заказ и почти сразу его отменил, еще 30 марта, но возврат до сих пор висит, почему |До сих пор не получил возмещение за заказ Здравствуйте, меня зовут имя, чем могу Вам помочь? Мы обязательно решим данный вопрос",positive
