id,Время начала вызова,Время окончания вызова,Время постановки в очередь,Время переключения на оператора,Время окончания разговора с оператором,"Длительность разговора с оператором, сек",Метка
128,06:36:50,06:39:40,6:38:00,06:38:00,06:39:40,100.0,1
129,06:40:59,06:41:36,,,,,0
130,06:43:00,06:50:14,6:44:08,06:44:08,06:50:04,356.0,1
131,06:50:08,06:50:25,,,,,0
132,06:58:01,06:59:16,,,,,0
133,06:59:29,06:59:41,,,,,0
134,07:01:19,07:02:36,,,,,0
135,07:01:44,07:02:32,,,,,0
136,07:02:11,07:02:52,,,,,0
137,07:02:41,07:03:39,,,,,0
138,07:03:39,07:04:57,,,,,0
139,07:03:47,07:04:44,,,,,0
140,07:04:54,07:11:13,7:05:59,07:05:59,07:10:35,276.0,1
141,07:05:46,07:06:18,,,,,0
142,07:06:25,07:10:06,07:07:03,,,,0
143,07:06:31,07:11:11,7:07:00,07:07:00,07:11:11,251.0,1
144,07:06:33,07:07:43,,,,,0
145,07:08:05,07:08:36,,,,,0
146,07:08:53,07:09:08,,,,,0
147,07:09:50,07:13:14,7:10:57,07:10:57,07:13:10,133.0,1
148,07:14:38,07:15:17,,,,,0
149,07:16:21,07:17:39,7:17:27,07:17:27,07:17:39,12.0,1
150,07:20:40,07:20:44,,,,,0
151,07:22:18,07:25:29,7:23:25,07:23:25,07:25:23,118.0,1
152,07:23:23,07:24:33,,,,,0
153,07:23:45,07:24:50,,,,,0
154,07:24:12,07:25:05,,,,,0
155,07:24:51,07:26:16,,,,,0
156,07:28:47,07:30:09,,,,,0
157,07:32:49,07:38:15,7:32:49,07:32:49,07:36:32,223.0,1
158,07:34:07,07:40:03,7:35:14,07:35:14,07:39:37,263.0,1
159,07:34:47,07:37:53,7:35:54,07:36:38,07:37:48,70.0,1
160,07:36:56,07:37:38,,,,,0
161,07:38:14,07:41:01,7:39:22,07:39:39,07:41:01,82.0,1
162,07:38:53,07:40:10,,,,,0
163,07:39:04,07:39:53,,,,,0
164,07:39:12,07:40:01,,,,,0
165,07:39:48,07:43:43,7:40:56,07:41:08,07:42:56,108.0,1
166,07:41:21,07:41:42,7:41:34,07:41:34,07:41:42,8.0,1
167,07:41:51,07:49:59,7:42:59,07:42:59,07:49:59,420.0,1
168,07:42:10,07:43:29,7:42:23,07:42:23,07:43:29,66.0,1
169,07:42:51,07:43:46,,,,,0
170,07:43:43,07:44:32,,,,,0
171,07:44:04,07:45:02,,,,,0
172,07:44:06,07:44:46,,,,,0
173,07:44:26,07:46:32,7:45:05,07:45:05,07:46:30,85.0,1
174,07:45:00,07:50:44,7:46:08,07:46:33,07:50:28,235.0,1
175,07:48:54,07:55:20,7:49:59,07:50:14,07:55:01,287.0,1
176,07:49:15,07:53:08,7:50:23,07:50:39,07:52:42,123.0,1
177,07:48:48,07:49:02,,,,,0
178,07:51:45,07:54:59,7:52:51,07:53:08,07:54:15,67.0,1
179,07:51:00,07:52:44,07:52:09,,,,0
180,07:57:24,08:01:17,7:58:29,07:58:29,08:00:31,122.0,1
181,07:57:38,08:01:44,7:58:47,07:58:47,08:01:44,177.0,1
182,07:59:13,08:00:29,,,,,0
183,07:59:17,08:00:12,,,,,0
184,08:00:12,08:04:04,8:01:21,08:01:21,08:03:31,130.0,1
185,08:01:21,08:02:32,,,,,0
186,08:03:06,08:07:29,8:04:15,08:04:15,08:07:29,194.0,1
187,08:03:53,08:10:14,8:05:01,08:07:31,08:09:43,132.0,1
188,08:04:51,08:05:38,,,,,0
189,08:07:59,08:08:58,,,,,0
190,08:08:15,08:12:30,8:09:23,08:09:45,08:12:25,160.0,1
191,08:08:17,08:08:35,,,,,0
192,08:11:07,08:15:01,8:12:11,08:12:31,08:14:49,138.0,1
193,08:11:50,08:18:12,8:12:57,08:13:16,08:17:45,269.0,1
194,08:11:02,08:14:00,08:12:10,,,,0
195,08:13:26,08:16:02,8:14:35,08:14:50,08:15:28,38.0,1
196,08:15:51,08:17:49,8:16:59,08:16:59,08:17:49,50.0,1
197,08:16:46,08:22:31,8:17:54,08:17:54,08:22:01,247.0,1
198,08:20:19,08:26:08,8:21:27,08:21:46,08:25:21,215.0,1
199,08:18:59,08:25:47,8:20:06,08:22:03,08:24:51,168.0,1
200,08:19:18,08:20:52,08:19:53,,,,0
201,08:23:55,08:27:29,8:25:03,08:25:23,08:27:28,125.0,1
202,08:24:15,08:28:30,8:25:24,08:25:40,08:27:54,134.0,1
203,08:23:52,08:27:30,08:25:03,,,,0
204,08:26:10,08:30:03,8:27:14,08:27:30,08:30:03,153.0,1
205,08:27:06,08:28:03,,,,,0
206,08:27:10,08:28:40,8:28:18,08:28:18,08:28:40,22.0,1
207,08:28:13,08:29:01,,,,,0
208,08:29:14,08:30:29,,,,,0
209,08:30:07,08:30:40,,,,,0
210,08:30:36,08:39:37,8:31:44,08:31:44,08:39:37,473.0,1
211,08:31:18,08:32:14,,,,,0
212,08:31:48,08:35:07,8:32:52,08:32:52,08:35:05,133.0,1
213,08:32:20,08:33:29,,,,,0
214,08:33:58,08:38:06,8:35:03,08:35:06,08:38:03,177.0,1
215,08:36:57,08:37:43,,,,,0
216,08:41:30,08:45:48,8:42:38,08:42:38,08:45:23,165.0,1
217,08:42:16,08:43:26,8:43:25,08:43:25,08:43:26,1.0,1
218,08:43:02,08:44:17,,,,,0
219,08:43:59,08:50:02,8:45:04,08:45:04,08:50:02,298.0,1
220,08:45:51,08:54:18,8:46:55,08:46:55,08:53:55,420.0,1
221,08:46:29,08:51:22,8:47:37,08:50:07,08:51:22,75.0,1
222,08:46:36,08:49:49,08:47:08,,,,0
223,08:46:44,08:48:19,08:47:52,,,,0
224,08:48:55,08:53:02,08:50:03,,,,0
225,08:49:00,08:57:51,8:49:40,08:51:22,08:57:42,380.0,1
226,08:49:19,08:50:22,,,,,0
227,08:52:20,08:57:35,8:53:25,08:53:56,08:57:32,216.0,1
228,08:53:15,08:54:17,,,,,0
229,08:56:37,09:02:46,8:57:13,08:57:32,09:02:25,293.0,1
230,08:54:41,08:55:40,,,,,0
231,08:55:46,08:57:27,08:55:46,,,,0
232,08:56:01,08:56:14,,,,,0
233,08:58:34,09:00:31,8:59:43,08:59:43,09:00:31,48.0,1
234,08:58:40,08:59:46,,,,,0
235,08:59:25,09:00:09,,,,,0
236,08:59:37,09:05:03,9:00:45,09:00:45,09:04:14,209.0,1
237,09:00:13,09:03:52,9:01:19,09:01:35,09:03:14,99.0,1
238,09:00:23,09:01:39,,,,,0
239,09:00:48,09:02:36,9:01:56,09:02:27,09:02:36,9.0,1
240,09:01:40,09:05:35,9:02:11,09:02:24,09:05:35,191.0,1
241,09:02:56,09:07:01,9:04:04,09:04:04,09:06:36,152.0,1
242,09:07:32,09:13:01,9:08:42,09:08:42,09:13:00,258.0,1
243,09:08:52,09:13:22,9:10:01,09:10:04,09:13:22,198.0,1
244,09:08:59,09:11:34,9:10:04,09:10:04,09:11:34,90.0,1
245,09:10:03,09:14:16,9:11:09,09:11:43,09:13:42,119.0,1
246,09:11:41,09:15:51,9:12:45,09:13:02,09:15:23,141.0,1
247,09:11:07,09:12:15,,,,,0
248,09:12:10,09:14:03,9:13:16,09:13:36,09:14:03,27.0,1
249,09:11:44,09:15:17,9:12:51,09:13:43,09:15:15,92.0,1
250,09:12:24,09:12:49,,,,,0
251,09:13:03,09:14:20,09:14:02,,,,0
252,09:13:20,09:18:36,,,,,0
253,09:14:37,09:15:43,,,,,0
254,09:15:08,09:15:29,,,,,0
255,09:16:09,09:20:35,9:16:52,09:16:55,09:20:06,191.0,1
256,09:16:12,09:19:30,9:17:18,09:17:18,09:18:55,97.0,1
257,09:17:54,09:20:39,9:19:02,09:19:02,09:20:37,95.0,1
258,09:19:47,09:21:13,,,,,0
259,09:19:58,09:24:24,9:21:01,09:21:01,09:24:03,182.0,1
260,09:20:28,09:21:40,9:21:33,09:21:36,09:21:40,4.0,1
261,09:23:41,09:25:48,9:24:17,09:24:18,09:25:47,89.0,1
262,09:24:16,09:34:40,9:25:21,09:25:21,09:34:04,523.0,1
263,09:26:13,09:29:08,9:27:21,09:27:24,09:29:06,102.0,1
264,09:26:15,09:27:32,,,,,0
265,09:26:15,09:30:58,9:27:23,09:27:23,09:30:48,205.0,1
266,09:27:54,09:29:48,9:29:03,09:29:18,09:29:48,30.0,1
267,09:28:37,09:32:05,9:29:45,09:29:59,09:32:05,126.0,1
268,09:29:43,09:33:16,9:30:52,09:30:52,09:32:54,122.0,1
269,09:30:20,09:30:32,,,,,0
270,09:30:52,09:34:33,9:32:00,09:32:16,09:34:33,137.0,1
271,09:31:17,09:35:49,9:32:22,09:32:55,09:35:48,173.0,1
272,09:31:45,09:34:31,9:32:22,09:32:22,09:34:31,129.0,1
273,09:33:23,09:35:12,9:34:27,09:34:41,09:35:12,31.0,1
274,09:32:40,09:34:23,09:33:48,,,,0
275,09:32:55,09:34:33,09:34:04,,,,0
276,09:33:33,09:40:34,9:34:41,09:35:22,09:40:05,282.0,1
277,09:35:57,09:40:34,9:35:57,09:35:58,09:40:05,247.0,1
278,09:34:21,09:41:43,9:35:29,09:35:49,09:41:19,330.0,1
279,09:34:01,09:34:40,,,,,0
280,09:34:49,09:35:35,,,,,0
281,09:35:53,09:41:30,9:36:38,09:36:41,09:41:29,288.0,1
282,09:36:01,09:40:32,9:37:09,09:37:09,09:40:12,183.0,1
283,09:38:48,09:43:52,9:39:57,09:40:13,09:43:18,185.0,1
284,09:36:27,09:40:09,09:37:35,,,,0
285,09:38:04,09:41:24,09:38:49,,,,0
286,09:39:57,09:46:44,9:40:31,09:40:31,09:46:42,371.0,1
287,09:40:05,09:40:57,,,,,0
288,09:40:14,09:41:42,9:41:23,09:41:26,09:41:42,16.0,1
289,09:41:11,09:45:10,9:42:21,09:42:24,09:45:09,165.0,1
290,09:41:21,09:44:23,9:42:29,09:42:43,09:43:51,68.0,1
291,09:41:34,09:42:20,,,,,0
292,09:41:57,09:46:59,9:43:05,09:43:20,09:46:59,219.0,1
293,09:41:51,09:42:24,,,,,0
294,09:42:19,09:43:50,09:43:24,,,,0
295,09:42:25,09:43:40,,,,,0
296,09:42:27,09:43:18,,,,,0
297,09:42:31,09:49:03,9:43:40,09:43:52,09:48:37,285.0,1
298,09:44:09,09:45:19,,,,,0
299,09:44:47,09:46:05,,,,,0
300,09:44:51,09:52:57,9:45:20,09:45:21,09:52:54,453.0,1
301,09:45:34,09:55:42,9:46:42,09:46:45,09:55:16,511.0,1
302,09:45:53,09:52:08,9:47:01,09:47:02,09:52:08,306.0,1
303,09:45:59,09:47:14,,,,,0
304,09:46:13,09:47:07,,,,,0
305,09:47:24,09:48:13,,,,,0
306,09:47:37,09:53:14,9:48:35,09:48:45,09:51:48,183.0,1
307,09:48:01,09:48:39,,,,,0
308,09:48:20,09:55:18,9:50:34,09:53:00,09:54:43,103.0,1
309,09:51:18,09:55:19,9:51:56,09:52:16,09:55:19,183.0,1
310,09:53:20,09:59:11,9:54:25,09:54:44,09:58:41,237.0,1
311,09:53:46,09:57:01,9:54:55,09:55:12,09:56:58,106.0,1
312,09:54:09,09:54:15,,,,,0
313,09:54:58,10:00:19,9:56:06,09:56:06,09:59:31,205.0,1
314,09:55:32,09:58:31,9:56:41,09:56:44,09:58:29,105.0,1
315,09:55:46,09:58:06,9:56:54,09:57:07,09:58:05,58.0,1
316,09:57:12,10:00:18,9:58:20,09:58:34,10:00:18,104.0,1
317,09:56:11,09:57:08,,,,,1
318,09:57:10,10:02:08,9:58:17,09:58:39,10:02:04,205.0,1
319,09:57:52,09:59:13,,,,,0
320,09:58:08,10:03:26,9:59:16,09:59:25,10:03:26,241.0,1
321,09:59:30,10:00:03,,,,,0
322,10:00:09,10:00:45,,,,,0
323,10:00:16,10:04:32,10:01:21,10:01:21,10:04:32,191.0,1
324,10:00:15,10:05:00,10:01:22,10:01:22,10:05:00,218.0,0
325,10:00:21,10:08:09,10:01:28,10:01:28,10:07:52,384.0,1
326,10:00:49,10:10:07,10:01:59,10:01:59,10:10:07,488.0,1
327,10:02:09,10:09:09,10:03:14,10:03:17,10:09:07,350.0,1
328,10:02:21,10:06:33,10:02:53,10:02:53,10:06:12,199.0,1
329,10:02:29,10:08:12,10:03:37,10:03:37,10:08:12,275.0,1
330,10:02:57,10:06:59,10:04:04,10:04:41,10:06:46,125.0,0
331,10:04:10,10:09:19,10:05:15,10:05:34,10:09:19,225.0,1
332,10:03:46,10:06:19,,,,,0
333,10:05:24,10:08:44,10:06:33,10:06:49,10:08:40,111.0,1
334,10:06:47,10:11:47,10:07:54,10:08:13,10:11:26,193.0,1
335,10:04:32,10:05:42,,,,,0
336,10:05:56,10:07:03,,,,,0
337,10:06:02,10:07:15,10:07:10,,,,0
338,10:07:31,10:15:26,10:08:14,10:08:34,10:15:26,412.0,1
339,10:06:15,10:07:04,,,,,0
340,10:07:45,10:11:27,10:08:26,10:08:41,10:10:55,134.0,1
341,10:07:11,10:07:39,,,,,0
342,10:07:49,10:11:55,10:08:54,10:09:13,10:11:29,136.0,1
343,10:07:53,10:08:39,,,,,0
344,10:09:30,10:13:27,10:10:36,10:10:56,10:13:06,130.0,1
345,10:08:59,10:10:52,10:09:38,10:09:38,10:10:52,74.0,0
346,10:09:40,10:21:00,10:10:44,10:11:00,10:21:00,600.0,1
347,10:10:28,10:17:05,10:11:34,10:11:37,10:17:04,327.0,0
348,10:10:47,10:11:30,,,,,0
349,10:11:54,10:14:09,10:13:02,10:13:02,10:14:09,67.0,1
350,10:12:05,10:16:25,10:13:14,10:13:14,10:15:49,155.0,0
351,10:12:17,10:20:43,10:13:10,10:13:10,10:20:43,453.0,0
352,10:12:19,10:12:52,,,,,0
353,10:12:30,10:13:35,,,,,0
354,10:13:38,10:15:03,10:14:46,10:14:46,10:15:03,17.0,1
355,10:13:45,10:14:11,,,,,0
356,10:15:13,10:18:12,10:15:53,10:15:53,10:17:40,107.0,0
357,10:15:45,10:19:52,10:16:50,10:16:50,10:19:52,182.0,1
358,10:16:01,10:16:39,10:16:37,10:16:37,10:16:39,2.0,0
359,10:16:50,10:19:44,10:18:00,10:18:03,10:19:44,101.0,1
360,10:16:59,10:22:08,10:18:07,10:18:07,10:21:42,215.0,0
361,10:17:53,10:21:52,10:19:01,10:19:58,10:21:52,114.0,1
362,10:18:39,10:25:01,10:19:37,10:19:56,10:25:01,305.0,1
363,10:18:14,10:22:01,10:19:22,10:20:03,10:22:00,117.0,1
364,10:18:58,10:22:18,10:20:03,10:21:31,10:22:18,47.0,0
365,10:19:35,10:20:39,,,,,0
366,10:20:12,10:37:16,10:21:21,10:21:49,10:37:16,927.0,1
367,10:20:30,10:27:52,10:21:37,10:21:54,10:27:52,358.0,0
368,10:20:31,10:24:26,10:21:40,10:22:02,10:23:47,105.0,0
369,10:20:36,10:22:12,10:21:44,,,,0
370,10:22:31,10:26:05,10:23:14,10:23:34,10:26:05,151.0,1
371,10:21:57,10:23:39,10:22:41,,,,0
372,10:22:00,10:27:08,10:22:31,10:22:32,10:27:06,274.0,0
373,10:22:47,10:26:25,10:23:55,10:24:01,10:26:25,144.0,0
374,10:23:12,10:28:20,10:24:18,10:25:12,10:28:10,178.0,1
375,10:23:26,10:30:55,10:24:34,10:25:57,10:30:16,259.0,0
376,10:23:27,10:27:36,10:23:52,10:23:52,10:25:30,98.0,0
377,10:26:32,10:32:30,10:27:40,10:27:57,10:32:27,270.0,1
378,10:27:20,10:31:14,10:28:03,10:28:19,10:30:33,134.0,1
379,10:27:26,10:31:51,10:28:05,10:28:34,10:31:51,197.0,0
380,10:28:54,10:35:35,10:29:59,10:30:27,10:34:53,266.0,1
381,10:29:41,10:33:20,10:30:18,10:30:39,10:33:11,152.0,1
382,10:30:22,10:40:07,10:31:30,10:33:01,10:40:07,426.0,0
383,10:30:56,10:32:27,,,,,0
384,10:32:11,10:38:17,10:33:20,10:33:39,10:38:16,277.0,1
385,10:31:19,10:32:30,,,,,0
386,10:33:10,10:41:01,10:34:17,10:34:32,10:41:01,389.0,1
387,10:32:23,10:33:27,,,,,0
388,10:33:37,10:49:39,10:34:46,10:35:00,10:49:37,877.0,1
389,10:37:01,10:42:49,10:38:09,10:38:25,10:42:49,264.0,1
390,10:32:51,10:36:35,10:33:59,,,,0
391,10:33:12,10:34:23,,,,,0
392,10:33:20,10:37:02,10:34:28,,,,0
393,10:33:27,10:38:39,10:34:35,,,,0
394,10:33:53,10:37:39,10:35:01,,,,0
395,10:40:56,10:43:37,10:42:04,10:42:23,10:43:37,74.0,1
396,10:34:30,10:36:01,,,,,0
397,10:41:48,10:46:42,10:42:56,10:43:13,10:46:40,207.0,1
398,10:36:24,10:38:28,10:37:34,,,,0
399,10:36:44,10:36:45,,,,,0
400,10:36:51,10:39:00,10:37:37,,,,0
401,10:42:25,10:46:04,10:43:31,10:43:50,10:45:47,117.0,1
402,10:38:08,10:42:07,10:39:18,,,,0
403,10:39:10,10:42:52,10:40:15,,,,0
404,10:45:22,10:50:04,10:46:31,10:46:48,10:50:00,192.0,1
405,10:45:27,10:51:01,10:46:36,10:46:55,10:50:59,244.0,1
406,10:39:46,10:43:31,10:40:52,,,,0
407,10:40:31,10:45:06,10:41:40,,,,0
408,10:40:32,10:44:13,10:41:38,,,,0
409,10:48:12,10:52:53,10:49:21,10:49:38,10:52:53,195.0,1
410,10:49:10,10:55:44,10:49:51,10:50:07,10:55:05,298.0,1
411,10:42:13,10:43:15,,,,,0
412,10:42:50,10:45:47,10:43:56,,,,0
413,10:43:23,10:44:04,,,,,0
414,10:43:40,10:46:23,10:44:48,,,,0
415,10:43:51,11:00:33,10:44:59,10:46:30,11:00:33,843.0,1
416,10:43:55,10:45:12,10:45:04,,,,0
417,10:44:07,10:48:55,10:45:16,,,,0
418,10:48:57,10:51:28,10:50:06,10:50:25,10:51:23,58.0,1
419,10:45:55,10:49:38,10:47:02,,,,0
420,10:50:12,10:56:54,10:50:51,10:51:08,10:56:23,315.0,1
421,10:50:04,10:59:18,10:51:11,10:51:26,10:58:45,439.0,1
422,10:46:58,10:47:42,,,,,0
423,10:47:43,10:50:16,10:48:18,10:48:19,10:50:16,117.0,0
424,10:47:46,10:51:02,10:48:25,,,,0
425,10:52:01,10:58:16,10:52:45,10:53:01,10:58:16,315.0,1
426,10:49:28,10:52:54,10:50:01,10:50:18,10:52:37,139.0,1
427,10:48:44,10:49:44,,,,,0
428,10:49:01,10:52:46,10:50:10,,,,0
429,10:49:02,10:55:05,10:50:11,,,,0
430,10:49:37,10:50:52,,,,,0
431,10:50:07,10:53:52,10:51:11,,,,0
432,10:54:00,11:00:20,10:55:09,10:55:26,10:59:41,255.0,1
433,10:54:57,11:01:25,10:56:05,10:56:24,11:01:25,301.0,1
434,10:51:29,10:52:39,,,,,0
435,10:55:12,11:02:13,10:56:21,10:56:37,11:02:13,336.0,1
436,10:51:52,10:53:27,,,,,0
437,10:53:30,10:54:49,,,,,0
438,10:53:35,10:55:06,,,,,0
439,10:53:37,10:54:15,,,,,0
440,10:54:50,10:55:33,,,,,0
441,10:55:15,10:56:01,,,,,0
442,10:55:18,10:56:37,,,,,0
443,10:57:00,10:59:42,10:58:08,10:58:22,10:59:42,80.0,1
444,10:55:32,11:02:37,10:56:11,10:56:45,11:02:12,327.0,1
445,10:55:44,10:55:52,,,,,0
446,10:58:14,11:09:21,10:59:23,10:59:43,11:08:38,535.0,1
447,10:58:42,11:05:55,10:59:48,11:00:05,11:05:54,349.0,1
