id,text,label
145,Проверка тарифа,FAQ - тарифы и услуги
146,тариф месяц безлимитный интернет,мобильная связь - тарифы
147,тариф тоже,Мобильные услуги
148,У меня тариф о а почему я должна еще подключаться,FAQ - тарифы и услуги
149,"Можете поменять, днем безлимитный траффик а днем 4 гб?",мобильная связь - тарифы
150,Ночную тарифу можно менять?,мобильная связь - тарифы
151,Проверка расходов,Баланс
152,Как отправить смс с данного приложения,Мобильные услуги
153,тарифы для интернета,мобильная связь - тарифы
154,«тариф»,мобильная связь - тарифы
155,«тариф»,мобильная связь - тарифы
156,тариф,мобильная связь - тарифы
157,Здравствуйте! Как узнать номер телефона?,SIM-карта и номер
158,Хочешь парня ,Мобильные услуги
159,Спасибо,запрос обратной связи
160,У меня сколько мелодия в званке,Мобильные услуги
161,Как можно использовать доп баланс?,Баланс
162,Ладно тогда какой тариф выгодно подключить,тарифы - подбор
163,Для интернета и звонков,мобильная связь - тарифы
164,«тариф»,мобильная связь - тарифы
165,«тариф»,мобильная связь - тарифы
166,«тариф»,мобильная связь - тарифы
167,А мой тариф какой,FAQ - тарифы и услуги
168,Как происходит детализация ,Баланс
169,Пришло сообщение что будет предоставлен интернет пакет 3гб если закинуть 200 сом. Закинул. А интернет пакет не дали,Баланс
170,Сколько у Меня единицы,Баланс
171,Почему интернет долго крутится,мобильная связь - тарифы
172,Есть ли тариф только с интернетом ?,мобильная связь - тарифы
173,«тариф»,мобильная связь - тарифы
174,«тариф»,мобильная связь - тарифы
175,Куда пропал мой баланс ?,Баланс
176,Как перевести средства ,Оплата
177,Для интернета и звонков,мобильная связь - тарифы
178,Для интернета и звонков,мобильная связь - тарифы
179,Для интернета и звонков,мобильная связь - тарифы
180,Для интернета и звонков,мобильная связь - тарифы
181,тарифы без абонентской платы,тарифы - подбор
182,Для интернета и звонков,мобильная связь - тарифы
183,Для интернета и звонков,мобильная связь - тарифы
184,Для интернета и звонков,мобильная связь - тарифы
185,Для интернета и звонков,мобильная связь - тарифы
186,Для интернета и звонков,мобильная связь - тарифы
187,тарифы без абонентской платы,тарифы - подбор
188,Для интернета и звонков,мобильная связь - тарифы
189,Для интернета и звонков,мобильная связь - тарифы
190,Для интернета и звонков,мобильная связь - тарифы
191,Для интернета и звонков,мобильная связь - тарифы
192,Для интернета и звонков,мобильная связь - тарифы
193,Для интернета и звонков,мобильная связь - тарифы
194,Для интернета и звонков,мобильная связь - тарифы
195,Для интернета и звонков,мобильная связь - тарифы
196,Для интернета и звонков,мобильная связь - тарифы
197,Для интернета и звонков,мобильная связь - тарифы
198,Для интернета и звонков,мобильная связь - тарифы
199,Для интернета и звонков,мобильная связь - тарифы
200,Для интернета и звонков,мобильная связь - тарифы
201,для интернет и звонит,мобильная связь - тарифы
202,Для интернета и звонков,мобильная связь - тарифы
203,Для интернета и звонков,мобильная связь - тарифы
204,Для интернета и звонков,мобильная связь - тарифы
205,Для интернета и звонков,мобильная связь - тарифы
206,Для интернета и звонков,мобильная связь - тарифы
207,тарифы без абонентской платы,тарифы - подбор
208,Для интернета и звонков,мобильная связь - тарифы
209,Для интернета и звонков,мобильная связь - тарифы
210,Для интернета и звонков,мобильная связь - тарифы
211,тарифы без абонентской платы,тарифы - подбор
212,тарифы без абонентской платы,тарифы - подбор
213,Для интернета и звонков,мобильная связь - тарифы
214,Для интернета и звонков,мобильная связь - тарифы
215,Для интернета и звонков,мобильная связь - тарифы
216,Какой у меня тариф ? ,FAQ - тарифы и услуги
217,Не могу получить интернет настройки ,FAQ - интернет
218,тариф,Мобильные услуги
219,Могу я менять тариф,мобильная связь - тарифы
220,Есть тариф,мобильная связь - тарифы
221,Хочу узнать подробнее о тариф,FAQ - тарифы и услуги
222,тариф,мобильная связь - тарифы
223,Переадресация,Мобильные услуги
224,остаток мегабайт как узнать,Баланс
225,на коропоративном номере как проверить баланс?,Баланс
226,Ты дашь мне свой номер,SIM-карта и номер
227,Баланс кг работает или нет.,Мобильные услуги
228,ручной настойки интернетта,FAQ - интернет
229,Хочу посмотреть все действующие тарифы для интернета,мобильная связь - тарифы
230,Для интернета,мобильная связь - тарифы
231,"можно купить сим карты, действующие в россии?",SIM-карта и номер
232,Хочу заказать звонок ,запрос обратной связи
233,Как мне узнать дополнитьльный баланс,Баланс
234,"Здравствуйте, как активировать сим карту?",SIM-карта и номер
235,Ну тогда тариф?,мобильная связь - тарифы
236,Что такое бесплатное интернет вне пакета?,FAQ - интернет
237,Добрый день как я могу узнать свой тарифный план,FAQ - тарифы и услуги
238,"я потеряла сим карту, как я могу ее востановить с моим прежним номером?",SIM-карта и номер
239,Как узнать свой тариф,FAQ - тарифы и услуги
240,услуга я нахожусь в Казахстане мне необходимо подключить роуминг,Роуминг
241,Как подключить роуминг не имея доступа к номеру,Роуминг
242,как узнать свой тариф,FAQ - тарифы и услуги
243,код для проверки свободности номера,SIM-карта и номер
244,Как перейти на тариф,мобильная связь - тарифы
245,Я оплатил через баланс свой интернет ,мобильная связь - тарифы
246,Как подключить тариф,мобильная связь - тарифы
247,Здравствуйте у меня тариф,мобильная связь - тарифы
248,В тарифе интернет безлимитный?,мобильная связь - тарифы
249,тариф,мобильная связь - тарифы
250,для звонков,мобильная связь - тарифы
251,могу ли я восстановить симку если не пользовался год?,SIM-карта и номер
252,тариф,мобильная связь - тарифы
253,Как оплатить услуги связи онлайн ,Оплата
254,тариф,мобильная связь - тарифы
255,тариф а не тариф,мобильная связь - тарифы
256,тариф,мобильная связь - тарифы
257,тарифы м интернетом,мобильная связь - тарифы
258,Как узнать свой номер ,SIM-карта и номер
259,Как получить доверительный платеж?,Мобильные услуги
260,Оставить жалобу хочу,запрос обратной связи
261,"Постоянно появляется услуга. Отправлял стоп, но не ПОМОГАЕТ ",Мобильные услуги
262,"Отправлял стоп на услуга, всё равно постоянно высвечивается услуга",Мобильные услуги
263,почему сим карта не работает?,SIM-карта и номер
264,Как запросить автоматические настройки интернета ,Мобильный интернет
265,Жалобу,запрос обратной связи
266,тариф,мобильная связь - тарифы
267,вне тарифа,мобильная связь - тарифы
268,Как называется ваш тариф?,FAQ - тарифы и услуги
269,Оставить жалобу,запрос обратной связи
270,"Здравствуйте, поможете подобрать какой нибудь тариф для интернета, не совсем дорогой",мобильная связь - тарифы
271,То есть симку сегодня приобрела ,SIM-карта и номер
272,Как узнать подключить интернет? Можно комбинации,Мобильный интернет
273,Настройки на интернет,Мобильный интернет
274,тарифы для интернета ,мобильная связь - тарифы
275,тариф,Мобильные услуги
276,дайте комманду на тариф я не могу найтит комманду,мобильная связь - тарифы
277,Здравствуйте хочу подключить тариф,мобильная связь - тарифы
278,Узнать свой тариф,FAQ - тарифы и услуги
279,Есть контакты,Мобильные услуги
280,Все,мобильная связь - тарифы
281,Дополнительный баланс,Баланс
282,Заказать звонок ,запрос обратной связи
283,как можно поменять номер,SIM-карта и номер
284,тариф,мобильная связь - тарифы
285,как сменить номер,SIM-карта и номер
286,тариф,мобильная связь - тарифы
287,Как подключить тариф,мобильная связь - тарифы
288,Этот тариф безобонплаты,мобильная связь - тарифы
289,Подроб информ о тарифе,мобильная связь - тарифы
290,тариф,мобильная связь - тарифы
291,Как настроить интернет?,Мобильный интернет
292,У вас тариф интернета на 200 Гб  и больше в месяц ,мобильная связь - тарифы
293,Как мне подключить мобильные данные?,Мобильный интернет
294,Как мне подключить мобильные данные?,Мобильный интернет
295,"добрый день. вопрос такой, у меня есть номер с тарифом могу ли я перенести этот тариф на другой свой номер?",мобильная связь - тарифы
296,тариф,мобильная связь - тарифы
297,Как подключить тариф на неделю,мобильная связь - тарифы
298,«тариф»,мобильная связь - тарифы
299,как атправит смс,Мобильные услуги
300,Как перейти на тариф,мобильная связь - тарифы
301,Как узнать свой интернет тариф?,FAQ - тарифы и услуги
302,вне сети сколько единиц уходит,Баланс
303,"Я подключила тариф, но у меня нет пакета",мобильная связь - тарифы
304,настройки интернет,Мобильный интернет
305,настройки интернет,Мобильный интернет
306,Как узнать свой тариф,FAQ - тарифы и услуги
307,когда закончится мой тарифный план,тарифы - подбор
308,Как отключить тариф в неделю 4гб,FAQ - тарифы и услуги
309,Как подключить тариф,мобильная связь - тарифы
310,Как отключить тариф ,FAQ - тарифы и услуги
311,«тариф»,мобильная связь - тарифы
312,Мне тариф нужен отключить ,FAQ - тарифы и услуги
313,Мне нужно отключить тариф ! Переключаться не надо ! Надо отключить ,FAQ - тарифы и услуги
314,Как можно переходит услуга в неделю,мобильная связь - тарифы
315,Как узнать остаток мб если я обменял свои баллы на мб по программе биилайн бонус ,Баланс
316,Подскажите выгодный тариф для звонков и интпрнета,тарифы - подбор
317,Подробнее о тариф,мобильная связь - тарифы
318,тариф,мобильная связь - тарифы
319,мобильный перевод ,Оплата
320,Меню оператор,Мобильные услуги
321,Как узнать о пополнении баланса на этом месяце,Баланс
322, Как подключить тариф,мобильная связь - тарифы
323,Слушайте и ваша компания так как все остальные! Дохлый интернет,мобильная связь - тарифы
324,Мой тариф,FAQ - тарифы и услуги
325,Мой баланс,Баланс
326,тариф для интернета,мобильная связь - тарифы
327,Как  перекинуть единицы,Оплата
328,Как активировать дополнительный баланс,Баланс
329,Как подключить тариф ,мобильная связь - тарифы
330,Как воспользоваться услугой мобильный перевод,Оплата
331,Как можно подключиться услугав тарифа,тарифы - подбор
332,У вас есть тарифы на месяц,мобильная связь - тарифы
333,Интернет тарифы,мобильная связь - тарифы
334,«тариф»,мобильная связь - тарифы
335,У вас есть тариф,мобильная связь - тарифы
336,тариф здесь сказали,мобильная связь - тарифы
337,Как узнать свой тариф,FAQ - тарифы и услуги
338,существует ли тарифы как покупка интернет гигабайтов без лимита на дату,FAQ - тарифы и услуги
339,Как вас зовут ,запрос обратной связи
340,Мы можем общаться с вами ,Устройства
341,тариф Модем для корпоративных клиентов,мобильная связь - тарифы
342,Интернет Досихпор низким ,мобильная связь - тарифы
343,Дайте ссылку на мобильное приложение лети киджи,Личный кабинет
344, ссылку на мобильное приложение лети киджи,Личный кабинет
345,Как пользоваться дополнительным балансом?,Баланс
346,Интернет тарифы и пакеты ,мобильная связь - тарифы
347,Подключение мобильного интернета,Мобильный интернет
348,Вы сможете мне отправить коды тарифа 'тариф',мобильная связь - тарифы
349,тариф на 4g представляется,мобильная связь - тарифы
350,Как я могу получить симкарту ,SIM-карта и номер
351,тарифы интернет,мобильная связь - тарифы
352,Про новый тариф,мобильная связь - тарифы
353,С интернетом и с телевидением,мобильная связь - тарифы
354,Какой-то новый тариф,мобильная связь - тарифы
355,можно подключить доверительный платеж онлайн,Мобильные услуги
356,тариф,мобильная связь - тарифы
357,А как надо номер поменять комбинация какая,SIM-карта и номер
358,У меня пропал баланс,Баланс
359,я нахожусь заграницей и забыл свой номер,SIM-карта и номер
360,как проверить остатки мб,Баланс
361,«услуга»,Мобильные услуги
362,услуга Скажи пожалуйста какие тариф душевую для интернета,мобильная связь - тарифы
363,тариф за месяц сколько стоит,мобильная связь - тарифы
364,Есть ещё тариф? ,тарифы - подбор
365,Интернетсколькостлит,мобильная связь - тарифы
366,Как подключить/отключить роуминг? ,Мобильные услуги
367,Как отключиться от тарифа,FAQ - тарифы и услуги
368,Что такое дополнительный баланс ,Баланс
369,Какой мой тариф,FAQ - тарифы и услуги
370,Как перейти на тариф за тариф,мобильная связь - тарифы
371,«тариф»,мобильная связь - тарифы
372,«тариф»,мобильная связь - тарифы
373,Как подключит скрытой номер,Мобильные услуги
374,Мой тариф какой,FAQ - тарифы и услуги
375,Как оплачивать гугл плэй,Личный кабинет
376,Свободен номер,SIM-карта и номер
377,Как сделать номер скрытым?,FAQ - тарифы и услуги
378,Как сменить номер.,SIM-карта и номер
379,Насройки интернета,Мобильный интернет
380,тариф ,мобильная связь - тарифы
381,Добрый день первая смена номера платная или нет,FAQ - тарифы и услуги
382, Какой тариф у меня ,FAQ - тарифы и услуги
383,Услугу,Мобильные услуги
384,тарифы без абонентской платы,тарифы - подбор
385,Популярные тарифы,мобильная связь - тарифы
386,Ранше у меня был тариф. Сейчас можно востанвить,FAQ - тарифы и услуги
387,«тариф»,мобильная связь - тарифы
388,Добрый ден! Как мне подключить услугу,Мобильные услуги
389,Как проверить свободный номер,SIM-карта и номер
390,Интернет,мобильная связь - тарифы
391,Куда пропали мои деньги,Баланс
392,Куда пропали мои деньги,Баланс
393,Сколько мегабайт у меня.,Баланс
394,выгодный интернет тариф посоветуйте ,мобильная связь - тарифы
395,«тариф»,мобильная связь - тарифы
396,«тариф»,мобильная связь - тарифы
397,«тариф»,мобильная связь - тарифы
398, не могу понять сколько мб осталось у меня,Баланс
399,тариф,мобильная связь - тарифы
400,"Здравствуйте услуга,! На что можно потратить доп баланс? Можно ли перевести на основн",Баланс
401,Я хочу возобновить тарифный план,тарифы - подбор
402,Как вожно перейти на сайт,мобильная связь - тарифы
403,тариф,FAQ - интернет
404,пакет бесплатных минут внутри сети оператор,FAQ - интернет
405,«тариф»,мобильная связь - тарифы
406,услуга,мобильная связь - тарифы
407,тариф,мобильная связь - тарифы
408,тариф,мобильная связь - тарифы
409,Здраствуйте. У меня сейчас тариф . Закончился мб нв 4G. Можно подключить дополнительно для 4 G,FAQ - тарифы и услуги
410,сколько стоит карманный вайфай роутер от оператора?,Мобильные услуги
411,Интернет услуги,Мобильные услуги
412,Интернет услуги,Мобильные услуги
413,Сколько на моем тарифе стоит звонок в Россию на стационарный номер телефона?,FAQ - тарифы и услуги
414,У меня есть долг а я как плачу,Мобильные услуги
415,Пин пук у меня нет,SIM-карта и номер
416,тарификация международных звонков,FAQ - тарифы и услуги
417,Настройка интернета,Мобильный интернет
418,тариф какой?,FAQ - тарифы и услуги
419,Любимые номера,Мобильные услуги
420,Мобильный перевод ,Оплата
421,Я могу закинуть денги на карточку ,Оплата
422,Проверка остатка пакетов,Баланс
423,на таджикистан толко одного номера оператор с кыргызмтан звонок песплатно можно делать?,FAQ - тарифы и услуги
424,Как перейти на тариф,мобильная связь - тарифы
425,Отправьте настройки для интернета,FAQ - интернет
426,Почему у меня не снимают деньги за недельный интернет,Баланс
427,Какие доп услуг. Есть в этом номере-,Мобильные услуги
428,Услуги для развлечений,Мобильные услуги
429,Как отключить 1гб интернета,Мобильный интернет
430,тарифы интернет,мобильная связь - тарифы
431,тарифы без абонентской платы,тарифы - подбор
432,Для интернета и звонков,мобильная связь - тарифы
433,«тариф»,мобильная связь - тарифы
434,«тариф»,мобильная связь - тарифы
435,Интернет тарифы,мобильная связь - тарифы
436,Как получить доверительный платеж,Мобильные услуги
437,тариф,мобильная связь - тарифы
438,У меня 4G горит говорят что сервисы переполнены я не могу заходить в интернет в научное время,FAQ - интернет
439,Когда мой будет даступен интернет на мой район? ,мобильная связь - тарифы
440,Перевод единиц,Оплата
441,что за тариф,мобильная связь - тарифы
442,«тариф»,мобильная связь - тарифы
443,Сколько у м еня осталось мб?,Баланс
444,Мой тарифный план,FAQ - тарифы и услуги
445,Как проверить остальной трафик ,Баланс
446,сколько стоит минута на таджикистан в тариф,мобильная связь - тарифы
447,тарифы,мобильная связь - тарифы
448,«тариф»,мобильная связь - тарифы
449,«тариф»,мобильная связь - тарифы
450,Популярные тарифы,мобильная связь - тарифы
451,Популярные тарифы,мобильная связь - тарифы
452,Недельные тарифы,FAQ - интернет
453,тариф ,мобильная связь - тарифы
454,пакет бесплатных минут внутри сети оператор,FAQ - интернет
455,как проверить номер ,SIM-карта и номер
456,тарифс неделью информация,FAQ - интернет
457,«тариф»,мобильная связь - тарифы
458,«тариф»,мобильная связь - тарифы
459,Детализация звонков,Баланс
460,Для интернета и звонков,мобильная связь - тарифы
461,В каком тарифе без лимит в соцсетях,FAQ - тарифы и услуги
462,Как долг просит,Мобильные услуги
463,Почему интернет у меня сбоями работаеть ?,мобильная связь - тарифы
464,Интернет услуги,Мобильные услуги
465,Интернет услуги,Мобильные услуги
466,Интернет тарифы,мобильная связь - тарифы
467,Интернет тарифы,мобильная связь - тарифы
468,Да есть симкарта не работает на моём телефоне написана нет сигнала ,SIM-карта и номер
469,Если я устоновлю вместо гудка мелодию то скока единицы я должна буду платить ,Мобильные услуги
470,Почему ограничена скорость на безлимит в одноклассниках?,Мобильный интернет
471,Как бесплатно сделат скрити номер ,SIM-карта и номер
472,Что делать чтобы мне перевели деньги,Оплата
473,Мне что скачать баланс кж,Мобильные услуги
474,Как подсоединить новый номер и что за это будет,SIM-карта и номер
475,«тариф»,мобильная связь - тарифы
476,«тариф»,мобильная связь - тарифы
477,Как узнать свой тариф,FAQ - тарифы и услуги
478,Здравствуйте! Как активировать сим карту?,SIM-карта и номер
479,Какие тарифы можешь посоветовать?,FAQ - тарифы и услуги
480,Автоплатеж,Мобильные услуги
481,Как перейти на тариф,мобильная связь - тарифы
482, Доп баланс 100с как понять это,Баланс
483,«тариф»,мобильная связь - тарифы
484,Проверить тп,FAQ - тарифы и услуги
485,У меня номер с начала недели 7гб был 2 недели 4гб,SIM-карта и номер
486,Что за тариф?,мобильная связь - тарифы
487,У меня щас на балансе 0 сом,Баланс
488,«тариф»,мобильная связь - тарифы
489,Сколько у меня осталось гб?,Баланс
490,Нет я вас удаляю.,Баланс
491,У меня тарифное план без лимитный был сейчас 4 гегабайт показивает?,FAQ - тарифы и услуги
492,Будет ли у меня безлимитный интернет после 1:00,мобильная связь - тарифы
493,как проверит баланс,Баланс
494,Во сколько тариф начнется,FAQ - тарифы и услуги
495,Пополни баланс по братски,Баланс
496,Баланса нет,Баланс
497,Услуга,Мобильные услуги
498,Можно спросить  научился ли тариф и могу ли я им пользоваться и до скольки,FAQ - тарифы и услуги
499,Я сейчас использовайу интернет вилайном,мобильная связь - тарифы
500,Почему у меня отнимаются единицы ,Баланс
501,У меня тариф почему уходят еденицы,Баланс
502,Мой тариф ,FAQ - тарифы и услуги
503,Для чего могу использовать дополнительные баланс,Баланс
504,Могу купить интернет дополнительные баланса,Баланс
505,Ну роуминга на моем тарифе нет кажется если есть то можно это проверить,Баланс
506,Почему уходят единицы у меня не работает тариф,Баланс
507,Уходят единицы,Баланс
508,«тариф»,Мобильные услуги
509,Интернет?,мобильная связь - тарифы
510,Как изменить свой номер ,SIM-карта и номер
511,Почему у меня ночюсьедает единицы хотя подключен тариф,Баланс
512,Что за тариф у меня,мобильная связь - тарифы
513,Популярные тарифы,мобильная связь - тарифы
514,Как позванить дешевле на россию,FAQ - тарифы и услуги
515,"Здравствуйте, услуга. Установите,пожалуйста, 4G в ",Мобильный интернет
516,Сделайте 4G в Апкане!!!!,мобильная связь - зона обслуживания
517,Как отключить все платные услуги,FAQ - тарифы и услуги
518,Как отключить тариф?,FAQ - тарифы и услуги
519,интернета нета,мобильная связь - тарифы
